time,open,high,low,close
2017-12-07T00:00:00Z,281,288,276,281
2017-12-08T00:00:00Z,281,339,277,297
2017-12-09T00:00:00Z,297,298,274,282
2017-12-10T00:00:00Z,282,283,247,266
2017-12-11T00:00:00Z,265,286,265,284
2017-12-12T00:00:00Z,284,486,281,404
2017-12-13T00:00:00Z,404,599,358,511
2017-12-14T00:00:00Z,511,988,509,958
2017-12-15T00:00:00Z,958,960,746,845
2017-12-16T00:00:00Z,845,903,830,852
2017-12-17T00:00:00Z,852,857,800,813
2017-12-18T00:00:00Z,814,885,759,868
2017-12-19T00:00:00Z,867,1004,851,921
2017-12-20T00:00:00Z,924,974,860,964
2017-12-21T00:00:00Z,964,1680,964,1641
2017-12-22T00:00:00Z,1647,1840,1000,1453
2017-12-23T00:00:00Z,1455,1549,1350,1447
2017-12-24T00:00:00Z,1447,1450,1250,1391
2017-12-25T00:00:00Z,1392,1420,1361,1406
2017-12-26T00:00:00Z,1407,1498,1376,1477
2017-12-27T00:00:00Z,1476,1820,1460,1725
2017-12-28T00:00:00Z,1724,1794,1450,1693
2017-12-29T00:00:00Z,1694,2804,1670,2708
2017-12-30T00:00:00Z,2707,3517,2510,2690
2017-12-31T00:00:00Z,2692,2935,2254,2760
2018-01-01T00:00:00Z,2760,2874,2580,2844
2018-01-02T00:00:00Z,2845,3045,2700,3020
2018-01-03T00:00:00Z,3020,3968,2961,3715
2018-01-04T00:00:00Z,3715,4750,3714,4228
2018-01-05T00:00:00Z,4229,4630,4000,4130
2018-01-06T00:00:00Z,4139,4340,4010,4039
2018-01-07T00:00:00Z,4038,4489,4020,4327
2018-01-08T00:00:00Z,4327,4328,3400,3888
2018-01-09T00:00:00Z,3883,4078,3200,3294
2018-01-10T00:00:00Z,3296,3383,2501,2713
2018-01-11T00:00:00Z,2713,2999,1999,2796
2018-01-12T00:00:00Z,2796,2998,2586,2983
2018-01-13T00:00:00Z,2985,3200,2851,2907
2018-01-14T00:00:00Z,2907,2908,2500,2593
2018-01-15T00:00:00Z,2592,2779,2201,2335
2018-01-16T00:00:00Z,2336,2383,1011,1458
2018-01-17T00:00:00Z,1456,1798,1113,1737
2018-01-18T00:00:00Z,1739,2290,1555,2091
2018-01-19T00:00:00Z,2092,2229,1952,2061
2018-01-20T00:00:00Z,2061,2129,1955,2051
