time,open,high,low,close
2021-05-13T00:00:00Z,1.3019,1.3717,1.2248,1.3644
2021-05-14T00:00:00Z,1.3644,1.4489,1.3243,1.4013
2021-05-15T00:00:00Z,1.4013,1.5837,1.3234,1.4924
2021-05-16T00:00:00Z,1.4924,1.613,1.3381,1.4479
2021-05-17T00:00:00Z,1.4479,1.5633,1.3257,1.4967
2021-05-18T00:00:00Z,1.4967,1.7039,1.475,1.5911
2021-05-19T00:00:00Z,1.5911,1.6467,0.8482,1.0606
2021-05-20T00:00:00Z,1.0606,1.2652,0.9034,1.1796
2021-05-21T00:00:00Z,1.1796,1.22,0.8651,1.0065
2021-05-22T00:00:00Z,1.0065,1.0158,0.8151,0.9047
2021-05-23T00:00:00Z,0.9047,0.9683,0.65,0.7897
2021-05-24T00:00:00Z,0.7897,0.9972,0.7539,0.9926
2021-05-25T00:00:00Z,0.9926,1.0596,0.88,0.9744
2021-05-26T00:00:00Z,0.9744,1.0689,0.9441,1.0304
2021-05-27T00:00:00Z,1.0304,1.0419,0.9314,0.9734
2021-05-28T00:00:00Z,0.9734,0.9841,0.8461,0.8988
2021-05-29T00:00:00Z,0.8988,0.9421,0.7924,0.8292
2021-05-30T00:00:00Z,0.8292,0.933,0.7976,0.9057
2021-05-31T00:00:00Z,0.9057,1.0496,0.8807,1.0416
2021-06-01T00:00:00Z,1.0416,1.1,0.974,1.0103
2021-06-02T00:00:00Z,1.0103,1.0503,0.98,1.0255
2021-06-03T00:00:00Z,1.0255,1.0783,1.0078,1.0442
2021-06-04T00:00:00Z,1.0442,1.0453,0.9155,0.9689
2021-06-05T00:00:00Z,0.9689,0.9987,0.8885,0.9223
2021-06-06T00:00:00Z,0.9223,0.9498,0.9174,0.946
2021-06-07T00:00:00Z,0.946,0.9757,0.8357,0.8617
2021-06-08T00:00:00Z,0.8617,0.8853,0.782,0.8734
2021-06-09T00:00:00Z,0.8734,0.9223,0.83,0.9222
2021-06-10T00:00:00Z,0.9222,0.9301,0.8525,0.8693
2021-06-11T00:00:00Z,0.8693,0.8807,0.8332,0.8473
2021-06-12T00:00:00Z,0.8473,0.8476,0.8055,0.8319
