time,open,high,low,close
2021-09-07T00:00:00Z,8.0894,8.3871,3.3657,5.1231
2021-09-08T00:00:00Z,5.1231,5.292,3.1424,3.9248
2021-09-09T00:00:00Z,3.9248,4.5,3.7019,3.8365
2021-09-10T00:00:00Z,3.8212,5.5238,3.2038,3.4483
2021-09-11T00:00:00Z,3.4554,3.9623,3.4132,3.6232
2021-09-12T00:00:00Z,3.6232,4.109,3.442,4.0375
2021-09-13T00:00:00Z,3.9973,4.0733,3.017,3.3944
2021-09-14T00:00:00Z,3.3859,3.6851,3.329,3.6775
2021-09-15T00:00:00Z,3.6777,4.023,3.509,3.9131
2021-09-16T00:00:00Z,3.9131,4.0515,3.356,3.5777
2021-09-17T00:00:00Z,3.5769,3.6972,3.2327,3.2992
2021-09-18T00:00:00Z,3.2992,3.8543,3.2643,3.3995
2021-09-19T00:00:00Z,3.3986,3.4751,3.0367,3.1025
2021-09-20T00:00:00Z,3.1041,3.1041,1.65,1.9081
2021-09-21T00:00:00Z,1.9177,2.1599,1.5,1.5688
2021-09-22T00:00:00Z,1.5936,2.4389,1.5634,2.2955
2021-09-23T00:00:00Z,2.3032,2.377,2.0676,2.2927
2021-09-24T00:00:00Z,2.2803,2.2938,1.5032,1.8964
2021-09-25T00:00:00Z,1.8813,1.9545,1.7233,1.8612
2021-09-26T00:00:00Z,1.8576,1.95,1.5756,1.8589
2021-09-27T00:00:00Z,1.8542,2.1067,1.713,1.7251
2021-09-28T00:00:00Z,1.7249,1.8449,1.5601,1.5702
2021-09-29T00:00:00Z,1.5758,2.1151,1.5286,1.7515
2021-09-30T00:00:00Z,1.7515,1.9982,1.7372,1.9016
2021-10-01T00:00:00Z,1.8992,2.5704,1.8413,2.4
2021-10-02T00:00:00Z,2.4075,2.6274,2.1968,2.3805
2021-10-03T00:00:00Z,2.402,2.7371,2.2701,2.4836
2021-10-04T00:00:00Z,2.4836,2.5703,2.1259,2.3726
2021-10-05T00:00:00Z,2.3781,2.6593,2.3226,2.6253
2021-10-06T00:00:00Z,2.6218,2.7543,2.1462,2.5259
2021-10-07T00:00:00Z,2.5446,2.6255,2.301,2.3972
2021-10-08T00:00:00Z,2.3839,2.5513,2.2815,2.3079
2021-10-09T00:00:00Z,2.3129,3.2922,2.2807,2.9458
2021-10-10T00:00:00Z,2.9458,3.4848,2.674,2.7472
2021-10-11T00:00:00Z,2.7265,3.1017,2.4479,2.6993
2021-10-12T00:00:00Z,2.7034,2.7035,2.2101,2.4322
2021-10-13T00:00:00Z,2.4322,2.6586,2.2584,2.5771
2021-10-14T00:00:00Z,2.5835,2.8,2.5297,2.5859
2021-10-15T00:00:00Z,2.5817,2.8,2.3254,2.6396
2021-10-16T00:00:00Z,2.6494,2.9685,2.5026,2.5454
2021-10-17T00:00:00Z,2.5344,2.586,2.21,2.2253
2021-10-18T00:00:00Z,2.2253,2.5825,2.0212,2.1003
2021-10-19T00:00:00Z,2.0997,2.2138,2.0099,2.152
2021-10-20T00:00:00Z,2.1386,2.5113,2.1227,2.42
2021-10-21T00:00:00Z,2.42,2.5999,2,2.0237
2021-10-22T00:00:00Z,2.0289,2.2007,1.9169,1.9217
2021-10-23T00:00:00Z,1.9217,1.9966,1.8574,1.9384
2021-10-24T00:00:00Z,1.9265,1.9696,1.7162,1.839
2021-10-25T00:00:00Z,1.839,1.9669,1.8176,1.8912
2021-10-26T00:00:00Z,1.8911,2.2628,1.8404,1.9271
2021-10-27T00:00:00Z,1.9099,2.0113,1.0368,1.2394
2021-10-28T00:00:00Z,1.2418,1.5698,1.1858,1.4611
2021-10-29T00:00:00Z,1.4597,1.6129,1.4508,1.5617
2021-10-30T00:00:00Z,1.5551,1.7014,1.4596,1.5432
2021-10-31T00:00:00Z,1.5494,1.8467,1.4751,1.6743
2021-11-01T00:00:00Z,1.6789,1.7529,1.4748,1.5575
2021-11-02T00:00:00Z,1.5575,1.8144,1.5326,1.7325
2021-11-03T00:00:00Z,1.7305,2.2339,1.6739,2.0452
2021-11-04T00:00:00Z,2.048,2.29,1.7257,1.8947
2021-11-05T00:00:00Z,1.8947,1.9311,1.5996,1.6873
2021-11-06T00:00:00Z,1.6875,1.7685,1.6792,1.7125
