time,open,high,low,close
2018-10-10T00:00:00Z,1.5,3.99,1.5,1.81484
2018-10-11T00:00:00Z,1.81299,1.81299,1.49,1.50954
2018-10-12T00:00:00Z,1.50951,1.7,1.46,1.62799
2018-10-13T00:00:00Z,1.62779,1.7,1.59,1.621
2018-10-14T00:00:00Z,1.625,1.68,1.58,1.58
2018-10-15T00:00:00Z,1.58885,1.75,1.51,1.655
2018-10-16T00:00:00Z,1.66287,1.99998,1.6411,1.81799
2018-10-17T00:00:00Z,1.817,1.875,1.73,1.77772
2018-10-18T00:00:00Z,1.77469,1.805,1.6999,1.72445
2018-10-19T00:00:00Z,1.72445,1.741,1.691,1.70999
2018-10-20T00:00:00Z,1.70102,1.765,1.7,1.7544
2018-10-21T00:00:00Z,1.7544,1.7544,1.712,1.71999
2018-10-22T00:00:00Z,1.72,1.72446,1.66,1.69684
2018-10-23T00:00:00Z,1.69684,1.748,1.62,1.7172
2018-10-24T00:00:00Z,1.717,1.73499,1.6566,1.72
2018-10-25T00:00:00Z,1.715,1.728,1.69002,1.723
2018-10-26T00:00:00Z,1.723,1.729,1.69009,1.72435
2018-10-27T00:00:00Z,1.72,1.72385,1.68,1.6935
2018-10-28T00:00:00Z,1.69199,1.715,1.67,1.672
2018-10-29T00:00:00Z,1.67998,1.67999,1.47,1.63883
2018-10-30T00:00:00Z,1.63957,1.69999,1.62,1.67
2018-10-31T00:00:00Z,1.67298,1.72,1.65,1.69997
2018-11-01T00:00:00Z,1.6999,1.71997,1.68,1.71847
2018-11-02T00:00:00Z,1.71,1.71997,1.67996,1.6998
2018-11-03T00:00:00Z,1.6998,1.71,1.67,1.69
2018-11-04T00:00:00Z,1.6979,1.71,1.6201,1.70691
2018-11-05T00:00:00Z,1.71,1.8001,1.66,1.8001
2018-11-06T00:00:00Z,1.8001,2.08,1.76285,2.06
2018-11-07T00:00:00Z,2.06,2.25,1.993,2.05749
2018-11-08T00:00:00Z,2.057,2.0735,1.88,1.88
2018-11-09T00:00:00Z,1.88,1.951,1.84,1.9159
2018-11-10T00:00:00Z,1.91588,1.93999,1.901,1.91221
2018-11-11T00:00:00Z,1.92,1.9398,1.80001,1.914
2018-11-12T00:00:00Z,1.914,2.05,1.9,1.97963
2018-11-13T00:00:00Z,1.96021,2.04901,1.9398,1.96
2018-11-14T00:00:00Z,1.96,1.96,1.6,1.808
2018-11-15T00:00:00Z,1.7811,1.83666,1.65003,1.82776
2018-11-16T00:00:00Z,1.80205,1.85,1.75107,1.79
2018-11-17T00:00:00Z,1.79,1.95,1.77,1.8403
2018-11-18T00:00:00Z,1.85,1.94,1.84006,1.93765
2018-11-19T00:00:00Z,1.9377,1.9377,1.7,1.82999
2018-11-20T00:00:00Z,1.82999,1.85,1.55,1.57
2018-11-21T00:00:00Z,1.57,1.73,1.44,1.72
2018-11-22T00:00:00Z,1.72,1.73,1.6,1.6675
2018-11-23T00:00:00Z,1.6675,1.6799,1.51,1.58375
2018-11-24T00:00:00Z,1.58375,1.93899,1.48,1.48484
2018-11-25T00:00:00Z,1.475,1.49995,1.27012,1.43
2018-11-26T00:00:00Z,1.43,1.46,1.32,1.37999
2018-11-27T00:00:00Z,1.37955,1.46999,1.35,1.41995
2018-11-28T00:00:00Z,1.41,1.58,1.4,1.5051
2018-11-29T00:00:00Z,1.52892,1.55,1.43,1.473
2018-11-30T00:00:00Z,1.473,1.49,1.3815,1.43981
2018-12-01T00:00:00Z,1.4398,1.4807,1.41,1.46
2018-12-02T00:00:00Z,1.46,1.48,1.412,1.43365
2018-12-03T00:00:00Z,1.43365,1.44921,1.36,1.37
2018-12-04T00:00:00Z,1.373,1.43,1.35505,1.36989
2018-12-05T00:00:00Z,1.37,1.38499,1.33,1.33953
2018-12-06T00:00:00Z,1.33951,1.34,1.25,1.25
2018-12-07T00:00:00Z,1.25333,1.295,1.14,1.18
2018-12-08T00:00:00Z,1.18,1.245,1.153,1.18989
2018-12-09T00:00:00Z,1.18999,1.23999,1.17,1.2199
2018-12-10T00:00:00Z,1.20275,1.239,1.1705,1.18
2018-12-11T00:00:00Z,1.18,1.21,1.161,1.18
2018-12-12T00:00:00Z,1.18,1.23,1.175,1.19878
2018-12-13T00:00:00Z,1.19877,1.2495,1.18,1.18151
2018-12-14T00:00:00Z,1.18151,1.2188,1.13,1.15997
2018-12-15T00:00:00Z,1.15997,1.16999,1.11003,1.12
2018-12-16T00:00:00Z,1.13535,1.16,1.12,1.13914
2018-12-17T00:00:00Z,1.14865,1.34,1.12111,1.29
