time,open,high,low,close
2019-12-29T16:00:00Z,0.1916,0.1977,0.1901,0.192
2019-12-30T16:00:00Z,0.1925,0.194,0.1892,0.1918
2019-12-31T16:00:00Z,0.1914,0.1953,0.1901,0.1942
2020-01-01T16:00:00Z,0.1941,0.1951,0.1901,0.1906
2020-01-02T16:00:00Z,0.1905,0.1939,0.1848,0.1921
2020-01-03T16:00:00Z,0.1921,0.194,0.1914,0.1925
2020-01-04T16:00:00Z,0.1925,0.1967,0.1913,0.1965
2020-01-05T16:00:00Z,0.1965,0.2169,0.1939,0.2134
2020-01-06T16:00:00Z,0.2225,0.2256,0.207,0.2077
2020-01-07T16:00:00Z,0.208,0.2184,0.2071,0.2126
2020-01-08T16:00:00Z,0.2126,0.2131,0.2027,0.2042
2020-01-09T16:00:00Z,0.2047,0.2097,0.2003,0.2087
2020-01-10T16:00:00Z,0.2086,0.2149,0.2068,0.2114
2020-01-11T16:00:00Z,0.2112,0.2198,0.2095,0.2155
2020-01-12T16:00:00Z,0.2155,0.2159,0.2104,0.2104
2020-01-13T16:00:00Z,0.2104,0.2286,0.2099,0.2254
2020-01-14T16:00:00Z,0.2252,0.2457,0.2204,0.2344
2020-01-15T16:00:00Z,0.2342,0.2373,0.2206,0.2277
2020-01-16T16:00:00Z,0.2275,0.2378,0.2254,0.2349
2020-01-17T16:00:00Z,0.2348,0.2545,0.2311,0.2465
2020-01-18T16:00:00Z,0.2465,0.2518,0.2259,0.2333
2020-01-19T16:00:00Z,0.2334,0.2364,0.2244,0.2326
2020-01-20T16:00:00Z,0.2327,0.2419,0.2316,0.2366
2020-01-21T16:00:00Z,0.2367,0.2399,0.2295,0.2353
2020-01-22T16:00:00Z,0.2351,0.2377,0.2251,0.2271
2020-01-23T16:00:00Z,0.2269,0.2277,0.2136,0.2237
2020-01-24T16:00:00Z,0.224,0.2248,0.2168,0.2203
2020-01-25T16:00:00Z,0.2203,0.2246,0.2181,0.2231
2020-01-26T16:00:00Z,0.2231,0.2337,0.223,0.2321
2020-01-27T16:00:00Z,0.2321,0.2417,0.2303,0.2346
2020-01-28T16:00:00Z,0.2346,0.2421,0.2319,0.2345
2020-01-29T16:00:00Z,0.2343,0.2393,0.2301,0.2385
2020-01-30T16:00:00Z,0.2385,0.2469,0.2333,0.2385
2020-01-31T16:00:00Z,0.2384,0.2433,0.2358,0.2386
2020-02-01T16:00:00Z,0.2387,0.2619,0.2354,0.2569
2020-02-02T16:00:00Z,0.2567,0.26,0.2473,0.2473
2020-02-03T16:00:00Z,0.2475,0.2713,0.2474,0.2679
2020-02-04T16:00:00Z,0.268,0.2825,0.2628,0.278
2020-02-05T16:00:00Z,0.2784,0.2871,0.2662,0.2796
2020-02-06T16:00:00Z,0.2794,0.289,0.276,0.28
2020-02-07T16:00:00Z,0.28,0.2822,0.2631,0.2771
2020-02-08T16:00:00Z,0.2771,0.2889,0.2744,0.2798
2020-02-09T16:00:00Z,0.2795,0.2849,0.2678,0.2751
2020-02-10T16:00:00Z,0.2751,0.2781,0.2678,0.278
2020-02-11T16:00:00Z,0.278,0.303,0.2774,0.2952
2020-02-12T16:00:00Z,0.2951,0.3408,0.2945,0.3279
2020-02-13T16:00:00Z,0.3286,0.3349,0.3103,0.329
2020-02-14T16:00:00Z,0.3292,0.347,0.316,0.3223
2020-02-15T16:00:00Z,0.3225,0.3291,0.2909,0.2954
2020-02-16T16:00:00Z,0.2954,0.3,0.268,0.2818
2020-02-17T16:00:00Z,0.282,0.2954,0.275,0.2892
2020-02-18T16:00:00Z,0.2894,0.303,0.2882,0.2948
2020-02-19T16:00:00Z,0.2948,0.3093,0.2634,0.2722
2020-02-20T16:00:00Z,0.2723,0.2789,0.2607,0.2758
2020-02-21T16:00:00Z,0.276,0.2792,0.2688,0.2724
2020-02-22T16:00:00Z,0.2724,0.285,0.2714,0.2807
2020-02-23T16:00:00Z,0.2807,0.2846,0.2693,0.2724
2020-02-24T16:00:00Z,0.2722,0.2731,0.2554,0.2578
